STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-06-01 00:00:03,2022-05-31 23:54:59,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 00:00:03,2022-05-31 23:55:41,DEVERELL PLACE,30,15,15,OPEN,Deverell Place,53.3515,-6.25527,2022,6
72,2022-06-01 00:00:03,2022-05-31 23:53:59,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,6
73,2022-06-01 00:00:03,2022-05-31 23:54:19,FRANCIS STREET,30,15,15,OPEN,Francis Street,53.3421,-6.27523,2022,6
7,2022-06-01 00:30:02,2022-06-01 00:28:48,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 00:30:02,2022-06-01 00:21:43,DEVERELL PLACE,30,13,17,OPEN,Deverell Place,53.3515,-6.25527,2022,6
72,2022-06-01 00:30:02,2022-06-01 00:21:27,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,6
73,2022-06-01 00:30:02,2022-06-01 00:24:42,FRANCIS STREET,30,16,14,OPEN,Francis Street,53.3421,-6.27523,2022,6
7,2022-06-01 01:00:02,2022-06-01 00:50:26,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 01:00:02,2022-06-01 00:50:27,DEVERELL PLACE,30,13,17,OPEN,Deverell Place,53.3515,-6.25527,2022,6
72,2022-06-01 01:00:02,2022-06-01 00:50:29,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,6
73,2022-06-01 01:00:02,2022-06-01 00:50:27,FRANCIS STREET,30,16,14,OPEN,Francis Street,53.3421,-6.27523,2022,6
7,2022-06-01 01:30:02,2022-06-01 01:20:45,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 01:30:02,2022-06-01 01:20:44,DEVERELL PLACE,30,13,17,OPEN,Deverell Place,53.3515,-6.25527,2022,6
72,2022-06-01 01:30:02,2022-06-01 01:20:47,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,6
73,2022-06-01 01:30:02,2022-06-01 01:20:44,FRANCIS STREET,30,16,14,OPEN,Francis Street,53.3421,-6.27523,2022,6
7,2022-06-01 02:00:02,2022-06-01 01:51:04,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 02:00:02,2022-06-01 01:51:02,DEVERELL PLACE,30,13,17,OPEN,Deverell Place,53.3515,-6.25527,2022,6
72,2022-06-01 02:00:02,2022-06-01 01:51:06,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,6
73,2022-06-01 02:00:02,2022-06-01 01:51:01,FRANCIS STREET,30,16,14,OPEN,Francis Street,53.3421,-6.27523,2022,6
7,2022-06-01 02:30:02,2022-06-01 02:21:23,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2022,6
45,2022-06-01 02:30:02,2022-06-01 02:21:20,DEVERELL PLACE,30,13,17,OPEN,Deverell Place,53.3515,-6.25527,2022,6
